ID,location,PropertyType,BHK,price
41590613,Jagatpura,apartment,2.0,14000
40687753,Pratap Nagar,builder floor apartment,3.0,14000
26269471,Vasundhara,residential house,4.0,15000
41820339,C-Scheme,builder floor apartment,2.0,25000
41463165,Sirsi Road,builder floor apartment,3.0,11000
42859571,Mansarovar,residential house,2.0,12000
42678009,Vaishali Nagar,residential house,3.0,21000
39045629,Muktanand Nagar,residential house,2.0,22000
42342831,Arjun Nagar,residential house,2.0,12000
42584619,Malviya Nagar,builder floor apartment,3.0,20000
42319681,Vaishali Nagar,apartment,2.0,12000
18127756,Jagatpura,apartment,3.0,12000
42438209,Sirsi Road,apartment,2.0,10000
42287687,Bapu Nagar,apartment,3.0,35000
41925117,Vaishali Nagar,apartment,3.0,16000
41781783,New Sanganer Road,residential house,2.0,12000
20103406,Pratap Nagar,apartment,3.0,13500
41357431,Jagatpura,apartment,3.0,24000
41914375,Bhankrota,apartment,2.0,10500
16073093,Civil Lines,apartment,2.0,26000
41901493,Jagatpura,apartment,2.0,13000
42088753,Jagatpura,apartment,2.0,17500
42034795,Ajmer Road,builder floor apartment,2.0,14999
34619741,Ajmer Road,apartment,3.0,8000
41546157,Ajmer Road,apartment,3.0,18000
38407751,Ajmer Road,builder floor apartment,3.0,16000
42609459,Mansarovar,apartment,3.0,26000
36294311,Ajmer Road,villa,3.0,15000
42069467,Sez,villa,3.0,10000
41513905,Mahindra World City,apartment,3.0,12000
41695411,Lalarpura,apartment,4.0,28000
19798899,Chitrakoot,builder floor apartment,4.0,20000
42912407,Vaishali Nagar,apartment,2.0,9500
42779517,Padmawati Colony,apartment,3.0,14000
41533977,Mansarovar,apartment,2.0,17000
41545755,Narayan Vihar,builder floor apartment,3.0,12000
22363921,Sikar Road,apartment,3.0,15000
39444871,Vatika Road,apartment,2.0,12000
17158651,Jagatpura,residential house,3.0,17000
41914233,Sirsi Road,residential house,3.0,10000
37616959,Parsvnath Narayan City,apartment,3.0,15000
42908353,Vinoba Basti,residential house,1.0,13000
42910109,Bani Park,apartment,3.0,37000
30765239,Rani Sati Nagar,apartment,1.0,20000
33225983,Mansarovar,residential house,2.0,10000
18099536,Jagatpura,apartment,3.0,13500
27832731,Ajmer Road,apartment,2.0,15000
15222346,Sikar Road,residential house,2.0,9000
42906803,Saraswati Nagar,apartment,2.0,11000
